rate,Reviews,tokenized_reviews,review_date,Sentiment
5,"Better Than Thought. We purchased a travel plan from Travel Insured International a month ago and had to cancel. I spoke with Sereniti whose help and support was excellent. Throughout the conversation, she was always kind, respectful, professional. a great listener and found a variety of ways to explain how the process worked. Her patience allowed me to leave the conversation 25 minutes later with a complete understanding and satisfaction with the outcome. Thanks Travel Insured Intl., we'll be back.","['better', 'than', 'thought', 'we', 'purchased', 'a', 'travel', 'plan', 'from', 'travel', 'insured', 'international', 'a', 'month', 'ago', 'and', 'had', 'to', 'cancel', 'i', 'spoke', 'with', 'sereniti', 'whose', 'help', 'and', 'support', 'was', 'excellent', 'throughout', 'the', 'conversation', 'she', 'was', 'always', 'kind', 'respectful', 'professional', 'a', 'great', 'listener', 'and', 'found', 'a', 'variety', 'of', 'ways', 'to', 'explain', 'how', 'the', 'process', 'worked', 'her', 'patience', 'allowed', 'me', 'to', 'leave', 'the', 'conversation', '25', 'minutes', 'later', 'with', 'a', 'complete', 'understanding', 'and', 'satisfaction', 'with', 'the', 'outcome', 'thanks', 'travel', 'insured', 'intl', 'well', 'be', 'back']",2025-02-14,POSITIVE
5,Fortunately we didn’t have to use our travel insurance but it gave us peace of mind knowing that we were insured.,"['fortunately', 'we', 'didn', 't', 'have', 'to', 'use', 'our', 'travel', 'insurance', 'but', 'it', 'gave', 'us', 'peace', 'of', 'mind', 'knowing', 'that', 'we', 'were', 'insured']",2024-11-25,NEGATIVE
5,Insurance was easy to purchase online & gave me the coverage I needed.   I have used this company before.  ,"['insurance', 'was', 'easy', 'to', 'purchase', 'online', 'gave', 'me', 'the', 'coverage', 'i', 'needed', 'i', 'have', 'used', 'this', 'company', 'before']",2024-11-01,NEGATIVE
5,Peace of mind. Isabel took care of our travel insurance needs. Brought us some peace of mind should we have encountered issues with our luggage or were in need of medical assistance. ,"['peace', 'of', 'mind', 'isabel', 'took', 'care', 'of', 'our', 'travel', 'insurance', 'needs', 'brought', 'us', 'some', 'peace', 'of', 'mind', 'should', 'we', 'have', 'encountered', 'issues', 'with', 'our', 'luggage', 'or', 'were', 'in', 'need', 'of', 'medical', 'assistance']",2025-01-18,POSITIVE
5,"ABC ruise coverage. Policy issued same day with good coverage explanations. When changed from one traveler to two, told refund would be 5-6 days...it was done same day.Follow ups to remind me of coverage and contacts.","['abc', 'ruise', 'coverage', 'policy', 'issued', 'same', 'day', 'with', 'good', 'coverage', 'explanations', 'when', 'changed', 'from', 'one', 'traveler', 'to', 'two', 'told', 'refund', 'would', 'be', '56', 'daysit', 'was', 'done', 'same', 'dayfollow', 'ups', 'to', 'remind', 'me', 'of', 'coverage', 'and', 'contacts']",2025-01-28,NEGATIVE
5,"Thankfully we did not have to activate our insurance policy while traveling on our most recent trip, but we have had to in the past. Travel Insured was easy to deal with and reimbursement was prompt.","['thankfully', 'we', 'did', 'not', 'have', 'to', 'activate', 'our', 'insurance', 'policy', 'while', 'traveling', 'on', 'our', 'most', 'recent', 'trip', 'but', 'we', 'have', 'had', 'to', 'in', 'the', 'past', 'travel', 'insured', 'was', 'easy', 'to', 'deal', 'with', 'and', 'reimbursement', 'was', 'prompt']",2024-10-31,NEGATIVE
5,"Reasonably priced travel insurance, relatively easy proces to obtain. We had no issues, so we had no claims, so I can't speak to how claims are handled.","['reasonably', 'priced', 'travel', 'insurance', 'relatively', 'easy', 'proces', 'to', 'obtain', 'we', 'had', 'no', 'issues', 'so', 'we', 'had', 'no', 'claims', 'so', 'i', 'cant', 'speak', 'to', 'how', 'claims', 'are', 'handled']",2024-10-27,POSITIVE
5,BEST EVER TRAVEL INSURANCE. I did it by phone and the agent was Excellent in helping me find the insurance program best suited to my needs.,"['best', 'ever', 'travel', 'insurance', 'i', 'did', 'it', 'by', 'phone', 'and', 'the', 'agent', 'was', 'excellent', 'in', 'helping', 'me', 'find', 'the', 'insurance', 'program', 'best', 'suited', 'to', 'my', 'needs']",2025-02-08,POSITIVE
5,"It’s really hard for me to rate because I didn’t need to use the insurance; however, it was easy to purchase and update as the trip got closer with add- ons","['it', 's', 'really', 'hard', 'for', 'me', 'to', 'rate', 'because', 'i', 'didn', 't', 'need', 'to', 'use', 'the', 'insurance', 'however', 'it', 'was', 'easy', 'to', 'purchase', 'and', 'update', 'as', 'the', 'trip', 'got', 'closer', 'with', 'add', 'ons']",2024-10-23,NEGATIVE
4,Easy to purchase but I have no idea what the results are for using this insurance. I had no need for it but it gave me peace of mind in case I did.,"['easy', 'to', 'purchase', 'but', 'i', 'have', 'no', 'idea', 'what', 'the', 'results', 'are', 'for', 'using', 'this', 'insurance', 'i', 'had', 'no', 'need', 'for', 'it', 'but', 'it', 'gave', 'me', 'peace', 'of', 'mind', 'in', 'case', 'i', 'did']",2024-11-26,NEGATIVE
